age,JobType,EdType,maritalstatus,occupation,race,gender,nativecountry,SalStat
45,Private,HS grad,Divorced,Adm clerical,White,Female,United States,"less than or equal to 50,000"
44,Private,Some college,Married civ spouse,Prof specialty,White,Male,United States,"greater than 50,000"
27,Private,9th,Never married,Craft repair,White,Male,Mexico,"less than or equal to 50,000"
20,Private,Some college,Never married,Sales,White,Male,United States,"less than or equal to 50,000"
44,Private,HS grad,Widowed,Exec managerial,Black,Female,United States,"less than or equal to 50,000"
51,Private,HS grad,Married civ spouse,Craft repair,Amer Indian Eskimo,Male,United States,"less than or equal to 50,000"
20,Private,HS grad,Married civ spouse,Machine op inspct,White,Male,United States,"less than or equal to 50,000"
19,Private,HS grad,Never married,Machine op inspct,Black,Female,United States,"less than or equal to 50,000"
45,Self emp inc,Some college,Married civ spouse,Craft repair,White,Male,United States,"greater than 50,000"
60,Private,HS grad,Married civ spouse,Craft repair,White,Male,United States,"greater than 50,000"
44,Self emp not inc,HS grad,Married civ spouse,Sales,White,Female,United States,"greater than 50,000"
40,Private,Assoc voc,Married civ spouse,Machine op inspct,Asian Pac Islander,Male,United States,"greater than 50,000"
30,Private,HS grad,Married civ spouse,Exec managerial,White,Female,United States,"less than or equal to 50,000"
38,Private,Some college,Married civ spouse,Transport moving,Black,Male,United States,"less than or equal to 50,000"
23,Private,HS grad,Married civ spouse,Transport moving,White,Male,United States,"less than or equal to 50,000"
44,Private,Assoc acdm,Never married,Farming fishing,White,Male,United States,"less than or equal to 50,000"
54,Local gov,HS grad,Married civ spouse,Transport moving,Black,Male,United States,"less than or equal to 50,000"
32,Private,Bachelors,Married civ spouse,Prof specialty,White,Male,United States,"less than or equal to 50,000"
50,Private,1st 4th,Married spouse absent,Craft repair,White,Male,United States,"less than or equal to 50,000"
24,Private,Bachelors,Never married,Tech support,White,Female,United States,"less than or equal to 50,000"
37,Private,HS grad,Married civ spouse,Adm clerical,White,Female,United States,"less than or equal to 50,000"
52,Private,HS grad,Divorced,Transport moving,White,Male,United States,"less than or equal to 50,000"
38,Private,Some college,Married civ spouse,Transport moving,White,Male,United States,"less than or equal to 50,000"
49,Private,Masters,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
30,Private,Bachelors,Married civ spouse,Tech support,White,Female,United States,"greater than 50,000"
60,Private,Some college,Never married,Prof specialty,White,Male,United States,"greater than 50,000"
35,Private,HS grad,Never married,Craft repair,White,Male,United States,"less than or equal to 50,000"
30,Private,HS grad,Never married,Transport moving,White,Male,United States,"less than or equal to 50,000"
67,Private,Assoc voc,Divorced,Other service,White,Female,United States,"less than or equal to 50,000"
46,Private,Bachelors,Never married,Craft repair,White,Female,United States,"less than or equal to 50,000"
17,Private,9th,Never married,Other service,White,Male,United States,"less than or equal to 50,000"
22,Private,Some college,Never married,Handlers cleaners,White,Male,United States,"less than or equal to 50,000"
27,Private,10th,Never married,Other service,White,Male,United States,"less than or equal to 50,000"
23,Private,HS grad,Never married,Other service,White,Female,United States,"less than or equal to 50,000"
33,Private,Assoc acdm,Married civ spouse,Craft repair,White,Male,Portugal,"less than or equal to 50,000"
43,Self emp not inc,Some college,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
28,State gov,Bachelors,Never married,Prof specialty,White,Male,United States,"less than or equal to 50,000"
41,Private,HS grad,Married spouse absent,Craft repair,White,Female,United States,"less than or equal to 50,000"
25,Private,Some college,Married spouse absent,Adm clerical,Black,Female,United States,"less than or equal to 50,000"
59,Local gov,HS grad,Married civ spouse,Transport moving,White,Male,United States,"less than or equal to 50,000"
45,Local gov,Bachelors,Divorced,Prof specialty,White,Female,United States,"less than or equal to 50,000"
38,Private,Bachelors,Married civ spouse,Sales,White,Male,United States,"greater than 50,000"
40,Private,HS grad,Never married,Other service,White,Female,United States,"less than or equal to 50,000"
46,Federal gov,HS grad,Divorced,Adm clerical,White,Male,United States,"less than or equal to 50,000"
35,Private,Assoc acdm,Never married,Exec managerial,White,Female,United States,"less than or equal to 50,000"
34,Private,HS grad,Divorced,Prof specialty,White,Female,United States,"less than or equal to 50,000"
33,Private,Bachelors,Never married,Craft repair,White,Male,United States,"less than or equal to 50,000"
41,Private,HS grad,Divorced,Adm clerical,White,Female,United States,"less than or equal to 50,000"
20,Private,Some college,Never married,Machine op inspct,White,Male,United States,"less than or equal to 50,000"
23,Private,5th 6th,Never married,Other service,White,Male,El Salvador,"less than or equal to 50,000"
26,Private,Some college,Never married,Prof specialty,White,Female,United States,"less than or equal to 50,000"
23,Local gov,HS grad,Never married,Farming fishing,White,Male,Poland,"less than or equal to 50,000"
62,Local gov,HS grad,Married civ spouse,Transport moving,White,Male,United States,"less than or equal to 50,000"
52,Private,Some college,Married civ spouse,Adm clerical,White,Male,United States,"less than or equal to 50,000"
58,Private,Some college,Divorced,Other service,White,Female,France,"less than or equal to 50,000"
25,Private,Bachelors,Never married,Sales,White,Female,United States,"less than or equal to 50,000"
24,Private,Bachelors,Never married,Exec managerial,Black,Male,United States,"less than or equal to 50,000"
19,Private,Some college,Never married,Protective serv,White,Male,United States,"less than or equal to 50,000"
43,Private,Some college,Married civ spouse,Exec managerial,White,Male,United States,"less than or equal to 50,000"
47,Local gov,HS grad,Separated,Adm clerical,Black,Female,United States,"less than or equal to 50,000"
39,Private,HS grad,Divorced,Other service,White,Female,United States,"less than or equal to 50,000"
49,Private,Assoc voc,Married spouse absent,Handlers cleaners,White,Male,United States,"less than or equal to 50,000"
32,Private,Assoc voc,Never married,Craft repair,White,Male,United States,"less than or equal to 50,000"
34,Private,Some college,Married civ spouse,Prof specialty,White,Male,United States,"greater than 50,000"
28,Private,HS grad,Divorced,Craft repair,White,Male,United States,"less than or equal to 50,000"
25,Private,Some college,Never married,Adm clerical,Amer Indian Eskimo,Female,United States,"less than or equal to 50,000"
34,Private,Bachelors,Married civ spouse,Prof specialty,White,Male,United States,"greater than 50,000"
38,Self emp inc,Bachelors,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
50,Private,HS grad,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
24,Local gov,Some college,Divorced,Handlers cleaners,Black,Male,United States,"less than or equal to 50,000"
37,Local gov,Some college,Married civ spouse,Tech support,White,Male,United States,"greater than 50,000"
44,Private,Some college,Divorced,Machine op inspct,White,Male,United States,"greater than 50,000"
28,Private,Some college,Married civ spouse,Sales,White,Female,United States,"less than or equal to 50,000"
42,Private,Bachelors,Married civ spouse,Exec managerial,White,Male,United States,"greater than 50,000"
38,Self emp not inc,HS grad,Married civ spouse,Craft repair,White,Male,United States,"less than or equal to 50,000"
44,Self emp not inc,Masters,Married civ spouse,Prof specialty,White,Male,United States,"less than or equal to 50,000"
26,Private,HS grad,Never married,Machine op inspct,White,Male,United States,"less than or equal to 50,000"
36,Private,HS grad,Married civ spouse,Other service,Black,Male,United States,"less than or equal to 50,000"
41,Private,Assoc acdm,Married civ spouse,Exec managerial,White,Female,United States,"greater than 50,000"
67,Private,Prof school,Married civ spouse,Prof specialty,White,Male,United States,"greater than 50,000"
39,Local gov,12th,Married civ spouse,Tech support,White,Male,United States,"less than or equal to 50,000"
57,Private,1st 4th,Widowed,Priv house serv,Black,Female,United States,"less than or equal to 50,000"
29,Private,Assoc voc,Separated,Craft repair,White,Male,United States,"less than or equal to 50,000"
31,Self emp inc,Bachelors,Never married,Farming fishing,White,Female,United States,"less than or equal to 50,000"
44,Private,Some college,Married civ spouse,Transport moving,White,Male,United States,"less than or equal to 50,000"
29,Private,Doctorate,Never married,Prof specialty,White,Male,United States,"less than or equal to 50,000"
30,Private,Some college,Never married,Handlers cleaners,White,Female,United States,"less than or equal to 50,000"
27,Private,HS grad,Never married,Transport moving,White,Male,United States,"less than or equal to 50,000"
27,Private,Some college,Married civ spouse,Sales,White,Male,United States,"less than or equal to 50,000"
32,Private,HS grad,Never married,Handlers cleaners,White,Female,United States,"less than or equal to 50,000"
58,Private,10th,Married civ spouse,Other service,White,Female,United States,"less than or equal to 50,000"
35,Local gov,Some college,Married civ spouse,Protective serv,White,Male,United States,"less than or equal to 50,000"
21,Private,HS grad,Never married,Handlers cleaners,White,Male,United States,"less than or equal to 50,000"
28,Private,Some college,Never married,Craft repair,White,Male,United States,"less than or equal to 50,000"
46,Self emp not inc,Some college,Divorced,Exec managerial,White,Male,United States,"less than or equal to 50,000"
36,Self emp not inc,HS grad,Separated,Other service,White,Female,United States,"less than or equal to 50,000"
35,Private,HS grad,Married civ spouse,Machine op inspct,Black,Female,United States,"less than or equal to 50,000"
33,Federal gov,Assoc voc,Divorced,Craft repair,Black,Female,United States,"greater than 50,000"
69,Private,11th,Never married,Machine op inspct,White,Female,United States,"less than or equal to 50,000"
35,Private,HS grad,Married civ spouse,Machine op inspct,White,Male,United States,"less than or equal to 50,000"
34,Private,HS grad,Married civ spouse,Tech support,White,Female,United States,"less than or equal to 50,000"
30,Private,11th,Married civ spouse,Other service,White,Male,Mexico,"less than or equal to 50,000"
28,Private,Bachelors,Never married,Transport moving,White,Male,United States,"less than or equal to 50,000"
54,Private,Bachelors,Married civ spouse,Sales,White,Male,United States,"greater than 50,000"
47,Private,Some college,Married civ spouse,Prof specialty,White,Male,United States,"greater than 50,000"
24,Private,HS grad,Never married,Handlers cleaners,Black,Female,United States,"less than or equal to 50,000"
